1a,"Articulate and set personal learning goals, develop strategies leveraging technology to achieve them and reflect on the learning process itself to improve learning outcomes.",ISTE
1b,"Students build networks and customize their learning environments in ways that support the learning process.",ISTE
1c,"Students use technology to seek feedback that informs and improves their practice and to demonstrate their learning in a variety of ways.",ISTE
1d,"Students understand the fundamental concepts of technology operations, demonstrate the ability to choose, use and troubleshoot current technologies and are able to transfer their knowledge to explore emerging technologies.",ISTE
2a,"Students cultivate and manage their digital identity and reputation and are aware of the permanence of their actions in the digital world.",ISTE
2b,"Students engage in positive, safe, legal and ethical behavior when using technology, including social interactions online or when using networked devices.",ISTE
2c,"Students demonstrate an understanding of and respect for the rights and obligations of using and sharing intellectual property.",ISTE
2d,"Students manage their personal data to maintain digital privacy and security and are aware of data-collection technology used to track their navigation online.",ISTE
3a,"Students plan and employ effective research strategies to locate information and other resources for their intellectual or creative pursuits.",ISTE
3b,"Students evaluate the accuracy, perspective, credibility and relevance of information, media, data or other resources.",ISTE
3c,"Students curate information from digital resources using a variety of tools and methods to create collections of artifacts that demonstrate meaningful connections or conclusions.",ISTE
3d,"Students build knowledge by actively exploring real-world issues and problems, developing ideas and theories and pursuing answers and solutions.",ISTE
4a,"Students know and use a deliberate design process for generating ideas, testing theories, creating innovative artifacts or solving authentic problems.",ISTE
4b,"Students select and use digital tools to plan and manage a design process that considers design constraints and calculated risks.",ISTE
4c,"Students develop, test and refine prototypes as part of a cyclical design process.",ISTE
4d,"Students exhibit a tolerance for ambiguity, perseverance and the capacity to work with open-ended problems.",ISTE
5a,"Students formulate problem definitions suited for technology-assisted methods such as data analysis, abstract models and algorithmic thinking in exploring and finding solutions.",ISTE
5b,"Students collect data or identify relevant data sets, use digital tools to analyze them, and represent data in various ways to facilitate problem-solving and decision-making.",ISTE
5c,"Students break problems into component parts, extract key information, and develop descriptive models to understand complex systems or facilitate problem-solving.",ISTE
5d,"Students understand how automation works and use algorithmic thinking to develop a sequence of steps to create and test automated solutions.",ISTE
6a,"Students choose the appropriate platforms and tools for meeting the desired objectives of their creation or communication.",ISTE
6b,"Students create original works or responsibly repurpose or remix digital resources into new creations.",ISTE
6c,"Students communicate complex ideas clearly and effectively by creating or using a variety of digital objects such as visualizations, models or simulations.",ISTE
6d,"Students publish or present content that customizes the message and medium for their intended audiences.",ISTE
7a,"Students use digital tools to connect with learners from a variety of backgrounds and cultures, engaging with them in ways that broaden mutual understanding and learning.",ISTE
7b,"Students use collaborative technologies to work with others, including peers, experts or community members, to examine issues and problems from multiple viewpoints.",ISTE
7c,"Students contribute constructively to project teams, assuming various roles and responsibilities to work effectively toward a common goal.",ISTE
7d,"Students explore local and global issues and use collaborative technologies to work with others to investigate solutions.",ISTE
